State,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
California,15944.3,9324.51,7930.89,14887.9,13283.8,9522.33,24325.8,22176.5,31317.9,22597.7,89570.8,41891.1,40120,42810.3,87669.4,36982.6
New York,2817.45,1158.42,2508.23,4507.94,3525.34,2025.49,6469.85,7549.09,3792.12,3689.31,12101.2,8230.12,18005.8,30918.5,35379.6,11630
Massachusetts,3289.1,2286.57,3363.01,1830.69,1869.64,4156.54,2796.66,3211.29,6239.48,6992.53,6206.81,6949.85,9211.85,10726,14622.4,5808.53
Florida,150,145.6,103.4,160.74,268,64.81,337.93,259.1,131.62,90.7,563.02,5979.38,1637.22,5851.73,11883.5,723.11
Texas,343.18,10.1,195.55,865.1,59.61,1865.37,976.84,254.28,1414.88,2036.11,2615.23,1811.72,2505.33,5626.31,3847.53,1197.09
